text,stars,months_ago
Excellent stay! Fantastic view from the veranda in the nice house. We got an upgrade to a bigger flat. Also we was able to check in 3 hours before expected. The owner was very helpful and service oriented. Kitchen was well equipped and it was only 50 meters to the local store.,5,5
"Owner was available and accommodating during enquiries, booking and arrival by email, phone and WhatsApp
Spacious, simple air-conditioned room with equipped kitchenette, small bathroom, balcony with partial sea view and a small washing line. There are beach shoes for guests to borrow - very useful!! The house is at the top of Loutro and our room was on the top floor - altogether quite a climb but good exercise considering all the Greek Taverna food! Loutro is tiny so nothing is more than 5 minutes walk away.
The couple who run the place are not always easily accessible but they are both lovely, super helpful, went out of their way to make us comfortable, Andreas did way beyond the necessary or expected.",5,6
"Just steps from the beach Villa Niki was spacious and clean, nice balcony overlooking Loutro. Bed was comfortable and air conditioning was a god send as it was hot. Make sure you say hello to Andreas who was very helpful, Every morning he …",5,12
Andreas and his wife are amazing warm and friendly people. The location is very quit and not too hot during sunny times. It’s just a 1min walk from the beach and very peaceful.|The rooms are marge and well equipped with a nice bed and spacy bathroom.|I will definitely go back there!,5,12
"It couldn't be more welcoming in a guest house at the south coast of Crete. The room is spacious and the beds very clean. I loved the light white cotton curtains for a special, traditional flair. The bath room has a standard size and …",5,24
"This is a very clean and friendly ""Rooms to let"". It is renovated offering spacious and beutiful rooms. Nice for families. The view is ok, but there are some disturbing items on nearby terraces. It is very close to the beach, perhaps 1-2 minutes walking distance. Suggested",5,24
"Great, family run hotel full of character, a little more set back on the hillside in Loutro. Very short walk to harbour/ waterfront set among lovely plants & flowers around. Spotlessly clean, huge rooms with kitchenette & great balcony …",5,48
"Like all the other reviews mention, Andreas and his wife are extremely pleasant and accommodating. We enjoyed our night there and wished we had more time. Our place was clean, spacious and bright and we would definitely stay again if we ever make it back to Loutro.",5,48
"Excellent! There are two main reasons - I believe there cannot be many more, actually. Firstly, the owners have been very helpful and trouble-less, they have given us a very nice room and coped with all our weird check-in times (due to unforeseeable weather-related circumstances); secondly the room itself was very nice, amazing view and a nice balcony.
Internet also was working very well; all in all, an amazing place that makes you feel welcome and really ""on holidays"". Very recommended.",5,48
"We spent 1 night here:  we had a super nice room, spacious, very clean and nicely decorated. Even we didn’t have time to eat in, we noticed that it had all the tools needed in the small kitchen. We also had a nice view from the balcony. The hosts were very friendly and gave us good recommendations for restaurants. Definitely recommend!",5,48
