Review,distilbart (arielle) summary,t5 (dana) summary,TF-IDF (),small - BART (dana),T5 (gal),T5 base (dina),BERT(Yahel),facebook/bart-large-cnn (Chen)
"We love The Old Phoenix - this is the fourth time weâ€™ve visited in the last ten years or so. Itâ€™s secluded and quiet, and the swimming in the bay is sublime. If youâ€™re expecting five-star luxury, go somewhere else; this is a traditional family-run place, with a warm welcome, uncomplicated but delicious Cretan food and simple but comfortable, clean accommodation with wonderful views out over the Libyan Sea.","The Old Phoenix is secluded and quiet, and the swimming in the bay is sublime . This is a traditional family-run place with a warm welcome and uncomplicated but delicious Cretan food .","this is the fourth time we've visited the old Phoenix in the last ten years or so. it's secluded and quiet, and the swimming in the bay is sublime. this is a traditional family-run place with a warm welcome, uncomplicated but delicious Cretan food and simple but comfortable, clean accommodation with wonderful views out over the Libyan Sea.",,"The Old Phoenix is a traditional family-run place, with a warm welcome.
 Cretan food and simple but comfortable, clean accommodation.
 It's secluded and quiet, and the swimming in the bay is sublime.","We love The Old Phoenix - this is the fourth time we’ve visited in the last ten years or so . It’s secluded and quiet, and the swimming in the bay is sublime .","if youÃ¢â‚¬tmre expecting five-star luxury, go somewhere else; this is a traditional family-run place with a warm welcome, uncomplicated but delicious cretan food and simple but clean accommodation with wonderful views out over the libyan sea.",,We love The Old Phoenix - this is the fourth time we‚Äôve visited in the last ten years or so. It‚Äôs secluded
"What a disappointment. We have wanted to stay here for years but it was not a nice experience. Fine for a day at the beach and lunch at the taverna but donâ€™t expect friendly service, the waiters couldnâ€™t care less. And do not stay here! Rooms are tired, beds uncomfortable, bathrooms stink and they only empty the bins and clean every 3 days which really doesnâ€™t help the smell in the bathroom! No-one friendly or nice except the poor overworked cleaning lady.
 Go a bit further on and stay with Pablos at Akrogialis - so welcoming and gorgeous rooms. Boat or walk to Marmara beach for a nice day and lovely lunch at the taverna there also.","Do not stay at Akrogialis for a day at the beach and lunch at the taverna . Rooms are tired, beds uncomfortable, bathrooms stink and they only empty the bins and clean every 3 days .","we have wanted to stay here for years but it was not a nice experience. the waiters couldnÃ¢â‚¬TMt care less. do not stay here! rooms are tired, beds uncomfortable, bathrooms stink and they only empty the bins and clean every 3 days which really doesnÃ¢â‚¬TMt help the smell in the bathroom.",,"We have wanted to stay here for years but it was not a nice experience.
 Do not stay here! Rooms are tired, beds uncomfortable, bathrooms stink and they only empty the bins and clean every 3 days.
 Go a bit further on and stay with Pablos at Akrogialis - so welcoming and gorgeous rooms.",No-one friendly or nice except the poor overworked cleaning lady . Boat or walk to Marmara beach for a nice day and lunch at the taverna .,"akrogialis was a nice experience but it was not a good experience. le rooms are tired, beds uncomfortable, bathrooms stink, no-one friendly service, the waiters couldnÃ¢â‚¬tmt care less.",,"Don't expect friendly service, the waiters couldn't care less. And do not stay here! ‚Ä¶"
"We walked over to Fenix from Loutro and stayed the day on the beach by the Old Phoenix. Wonderful small stony beach, clean clear water and very quiet. Had lunch in the restaurant that was very good, fresh local ingredients and lovely service. Highly recommend other to come and see for themselves. If we come to Crete again we will come here and stay in one of their rooms.","We stayed on the beach by the Old Phoenix in Crete . Had lunch in the restaurant that was very good, fresh local ingredients and lovely service .",we walked over to stony beach from Loutro and stayed the day on the beach by the old Phoenix. if we come to Crete again we will come here and stay in one of their rooms.,,"We walked over to Fenix from Loutro and stayed the day on the beach by the Old Phoenix.
 Had lunch in the restaurant that was very good, fresh local ingredients and lovely service. Highly recommend other to come and see for themselves.","We walked over to Fenix from Loutro and stayed the day on the beach by the Old Phoenix . Great small stony beach, clean clear water and very quiet .",if we come to crete again we will come here and stay in one of their rooms. loutro is a lovely town and it was an amazing experience. thank you for everything.,,"We stayed the day on the beach by the Old Phoenix. Wonderful small stony beach, clean clear water and very quiet. Had lunch in the"
"The Old Phoenix was the low point of our two week vacation. Our room looked nothing like the photos. No art on the walls, fluorescent blue lights (and fluorescent reading lights, well, only one worked, that were brighter than the overheads), rough sheets, drain smell in unventilated bathroom, restaurant service dismissive. We slept terribly and would choose not coming to the area over staying here again. We stayed at many similarly priced/classed spots geared to hikers and of course none of them were fancy but this is the only one we have complaints about. Baffled by good reviews elsewhere on this site and in newspapers â€”Â maybe something has changed.","The Old Phoenix was the low point of our two week vacation . No art on the walls, fluorescent blue lights, rough sheets, drain smell in unventilated bathroom, restaurant service dismissive . Baffled by good reviews elsewhere on this site and in newspapers .",the old Phoenix was the low point of our two week vacation. we stayed at many similarly priced/classed spots geared to hikers. some reviews have changed and some have changed. the old Phoenix is the only one we have complaints about.,,"The Old Phoenix was the low point of our two week vacation.
 We slept terribly and would choose not coming to the area over staying here again.
 Baffled by good reviews elsewhere, maybe something has changed.",The Old Phoenix was the low point of our two week vacation . We slept terribly and would choose not coming to the area over staying here again . Baffled by good reviews elsewhere on this site and in newspapers .,our room looked nothing like the photos but it is a bit fancy. we slept terrible and would choose not coming to the area over staying here again.,,"The Old Phoenix was the low point of our two week vacation. Our room looked nothing like the photos. No art on the walls,"
"I had a fantastic time at Old-Phoenix!
 The beautiful beach on site provided the perfect backdrop for a relaxing vacation.
 
 The staff was incredibly friendly and attentive, making my stay even more enjoyable.
 The traditional regional Greek cuisine at the restaurant was delicious, allowing me to truly savor the flavors of Greece. The rooms were spotlessly clean and well-maintained, contributing to a comfortable and rejuvenating stay.
 I highly recommend Old-Phoenix and look forward to returning soon!","The traditional regional Greek cuisine at the restaurant was delicious . The rooms were spotlessly clean and well-maintained, contributing to a comfortable stay .","the staff was incredibly friendly and attentive, making my stay even more enjoyable. the traditional regional Greek cuisine at the restaurant was delicious. the rooms were spotlessly clean and well-maintained, contributing to a comfortable and rejuvenating stay. I highly recommend Old-Phoenix and look forward to returning soon!",,"I had a fantastic time at Old-Phoenix!
 The beautiful beach on site provided the perfect backdrop for a relaxing vacation.
 The traditional regional Greek cuisine at the restaurant was delicious.","The beach on site provided the perfect backdrop for a relaxing vacation . The staff was incredibly friendly and attentive, making my stay even more enjoyable .",old-phoenix is an amazing place to stay at our hotel. the beautiful beach on site provided the perfect backdrop for a relaxing vacation. i highly recommend it!,,The beautiful beach on site provided the perfect backdrop for a relaxing
"On the way from Marmara to Loutro I stopped for breakfast. I had a coffee and a yogurt, finally after 30 minutes the yogurt didn't arrive, so I went to the boss to pay for my coffee and everything was fine. Then the waiter came and although I did not ask for anything, he tried to justify the long wait and then said, ""If you were in a hurry, you should not have stoppedâ€. What a blow. I was not in a hurry and find it utterly disrespectful to wish I had not come to this place...very different from the natural hospitality I experienced in Crete. I hope to come back in the future and have a better experience.","On the way from Marmara to Loutro I stopped for breakfast. I had a coffee and a yogurt, finally after 30 minutes the yogurt didn\'t arrive . The waiter tried to justify the long wait and then said, ""If you were in a hurry, you should not have stoppedâ€\x9d. What a blow. I","a waiter came to pay for a coffee and a yogurt. he tried to justify the long wait and then said, ""if you were in a hurry, you should not have stopped"" he said, ""if you were in a hurry, you should not have stopped"" he said, ""if you were in a hurry, you should not have stopped"" he said, ""if you were in a hurry, you should not have",,"Loutro's Marmara restaurant is ""very different from the natural hospitality I experienced in Crete""
 The waiter tried to justify the long wait and then said, ""If you were in a hurry, you should not have stoppedÃ¢â‚¬Â",I was not in a hurry and find it utterly disrespectful to wish I had not come to this place . I hope to come back in the future and have a better experience .,i was not in a hurry and find it utterly disrespectful to wish i had not come back in the future and have a better experience. i hope you will be back soon.,,"The author had a coffee and a yogurt on the way from Marmara to Loutro. After 30 minutes the yogurt didn't arrive, so he went"
"If you are looking for a get away from it all travelling experience then look no further. The location and view is absolutely stunning. We originally came here because itâ€™s a great base for walking but increasingly we like chilling out and relaxing on the beach.
 
 We like to walk the Aradena Gorge or go into Loutro , Marmara and beyond sampling the various tavernas along the way but most of all we love just â€œbeingâ€at The Pheonix.
 
 Itâ€™s a simple, quiet taverna but to us as soon as we arrive to the warm and friendly welcome itâ€™s like coming home.",Itâ€™s a great base for walking but increasingly we like chilling out and relaxing on the beach . If you are looking for a get away from it all travelling experience then look no further .,"we originally came here because itÃ¢â‚¬TMs a great base for walking but increasingly we like chilling out and relaxing on the beach. we like to walk the Aradena Gorge or go into Loutro, Marmara and beyond sampling the various tavernas along the way but most of all we love just Ã¢â‚¬",,"The location and view is absolutely stunning.
 We originally came here because itÃ¢â‚¬â„¢s a great base for walking but increasingly we like chilling out and relaxing on the beach.
 We like to walk the Aradena Gorge or go into Loutro, Marmara.","We originally came here because it’s a great base for walking but increasingly we like chilling out and relaxing on the beach . We like to walk the Aradena Gorge or go into Loutro, Marmara and beyond sampling the various tavernas along the way .",itÃ¢â‚¬tms a great base for walking and relaxing on the beach. the location and view is absolutely stunning. if you are looking for a get away from the travelling experience then look no further.,,The location and view is absolutely stunning. We originally came here because it‚Äôs a great base for walking but increasingly we like chilling out and
"Amazing place with nice people running it! Very good (and affordable) connections by boat to the surrounding beaches â˜ºï¸
 
 The food was also amazing, skip the menu and just ask about what's on the grill today!
 
 Recommendation: take the boat to Marmara, walk up the Aradena gorge to Livaniana and then down to Finika again! Amazing little hike",0,"the food was amazing, skip the menu and just ask about what's on the grill. recommendation: take the boat to marmara, walk up the Aradena gorge to Livaniana and then down to Finika again!",,"Amazing place with nice people running it! Very good (and affordable) connections by boat to the surrounding beaches.
 The food was also amazing, skip the menu and just ask about what's on the grill today!","The food was also amazing, skip the menu and just ask about what's on the grill today! Recommendation: take the boat to Marmara, walk up the Aradena gorge to Livaniana and then down to Finika again!",it is a great place with nice people and a fantastic beaches! i recommend this place to anyone who wants trying tickets or get away from the surrounding beach.,,Amazing place with nice people running it! Very good (and
When the small boat takes you into Finix Bay itâ€™s taking you back to how Greece used to be before mass tourism. A wonderfully relaxing traditional place with lots of outdoor activity in the surrounding mountains,Finix Bay is a wonderfully relaxing traditional traditional place with lots of outdoor activity in the surrounding mountains . Finix,the small boat takes you into Finix Bay and takes you back to how Greece used to be before mass tourism. a traditional place with lots of outdoor activity in the surrounding mountains.,,"Finix Bay is a wonderfully relaxing traditional place with lots of outdoor activity in the surrounding mountains.
 The small boat takes you into Finix Bay it's taking you back to how Greece used to be before mass tourism.",the small boat takes you into Finix Bay and takes you back to how Greece used to be before mass tourism .,"a wonderfully relaxing traditional place with lots of outdoor activities in the surrounding mountains. this is an amazing place to stay in greece, where you can let yourself feel at home.",,Finix Bay is a wonderfully relaxing traditional place with lots of outdoor activity in the surrounding mountains. When the small boat takes
I recommend this place for those who love to swim in the warm Mediterrian sea in October and for those who love the smell of Crete in the autumn. This is definitely the best place ever for staying for hours on a small and beautiful beach â€¦,This is definitely the best place ever for staying for hours on a small and beautiful beach . I recommend this place for those who,this is definitely the best place for those who love to swim in the warm Mediterrian sea in October and for those who love the smell of Crete in the autumn. this is definitely the best place for staying for hours on a small and beautiful beach Ã¢â‚¬,,"This is definitely the best place ever for staying for hours on a small and beautiful beach.
 I recommend this place for those who love to swim in the warm Mediterrian sea in October.",I recommend this place for those who love to swim in the warm Mediterrian sea in October . This is definitely the best place ever for staying for hours on a small and beautiful beach .,i recommend this place to those who love swim in the warm mediterrian sea in october and for thosh who love the smell of crete in the autumn. this is definitely the best place ever for staying for hours on a small and beautiful beach.,,This is definitely the best place ever for staying for hours on a small and beautiful beach. I recommend this place for those who love to swim in the warm Med
