,text,stars,months_ago,summary
0,"We love The Old Phoenix - this is the fourth time we’ve visited in the last ten years or so. It’s secluded and quiet, and the swimming in the bay is sublime. If you’re expecting five-star luxury, go somewhere else; this is a traditional …",5,5,"The Old Phoenix is secluded and quiet, and the swimming in the bay is sublime.
If you’re expecting five-star luxury, go somewhere else; this is a traditional …"
1,"What a disappointment. We have wanted to stay here for years but it was not a nice experience. Fine for a day at the beach and lunch at the taverna but don’t expect friendly service, the waiters couldn’t care less. And do not stay here! …",1,4,"We have wanted to stay here for years but it was not a nice experience.
Fine for a day at the beach and lunch at the taverna but don't expect friendly service, the waiters couldn't care less. And do not stay here! …"
2,"We walked over to Fenix from Loutro and stayed the day on the beach by the Old Phoenix. Wonderful small stony beach, clean clear water and very quiet. Had lunch in the restaurant that was very good, fresh local ingredients and lovely …",5,6,"We walked over to Fenix from Loutro and stayed the day on the beach by the Old Phoenix.
Had lunch in the restaurant that was very good, fresh local ingredients and lovely …"
3,"The Old Phoenix was the low point of our two week vacation. Our room looked nothing like the photos. No art on the walls, fluorescent blue lights (and fluorescent reading lights, well, only one worked, that were brighter than the …",1,5,"The Old Phoenix was the low point of our two week vacation.
Our room looked nothing like the photos.
No art on the walls, fluorescent blue lights (and fluorescent reading lights)"
4,"I had a fantastic time at Old-Phoenix!
The beautiful beach on site provided the perfect backdrop for a relaxing vacation. …",5,7,"""The beautiful beach on site provided the perfect backdrop for a relaxing vacation"""
5,"On the way from Marmara to Loutro I stopped for breakfast. I had a coffee and a yogurt, finally after 30 minutes the yogurt didn't arrive, so I went to the boss to pay for my coffee and everything was fine.  Then the waiter came and …",1,6,"Loutro is a Spanish restaurant chain based in Loutro, Spain.
The chain is known for its high-end dining.
It's also known as Marmara."
6,If you are looking for a get away from it all travelling experience then look no further. The location and view is absolutely stunning. We originally came here because it’s a great base for walking but increasingly we like chilling out and …,5,6,"The location and view is absolutely stunning.
We originally came here because it’s a great base for walking but increasingly we like chilling out and …"
7,Amazing place with nice people running it! Very good (and affordable) connections by boat to the surrounding beaches ☺️ …,5,7,Amazing place with nice people running it! Very good (and affordable) connections by boat to the surrounding beaches ☺️ …
8,When the small boat takes you into Finix Bay it’s taking you back to how Greece used to be before mass tourism. A wonderfully relaxing traditional place with lots of outdoor activity in the surrounding mountains,5,6,"Finix Bay is a wonderfully relaxing traditional place with lots of outdoor activity.
The small boat takes you into Finix Bay it’s taking you back to how Greece used to be before mass tourism."
9,I recommend this place for those who love to swim in the warm Mediterrian sea in October and for those who love the smell of Crete in the autumn. This is definitely the best place ever for staying for hours on a small and beautiful beach …,5,12,"This is definitely the best place ever for staying for hours on a small and beautiful beach.
I recommend this place for those who love to swim in the warm Mediterrian sea in October."
10,"Didn't stay at the hotel but did eat at the restaurant. Service was bad, food just ok. Do yourself a favor and take a 20 minute walk west and eat at Nikos Small Paradise instead. They actually appreciate your business.",1,7,"Didn't stay at the hotel but did eat at the restaurant.
Service was bad, food just ok. Do yourself a favor and take a 20 minute walk west and eat at Nikos Small Paradise instead.
They actually appreciate your business."
11,"Actually, you can read it all at the homepage of The Old Phoenix, it is a very good and precise description. |It is a really nice, very laid back place, beautifully situated in the bottom of the small bay of Finix. The rooms are small and …",4,12,"The Old Phoenix is a really nice, very laid back place, beautifully situated in the bottom of the small bay of Finix.
The rooms are small and …"
12,"So now I'm back again at Old Phonix. If you want details you can read my review from 2017, because it hasn't changed much. And that is what's so lovely about it. A beautiful building in a beautiful place. Very well kept, painted in …",5,12,"This is my review of Old Phonix from 2017.
It's a beautiful building in a beautiful place. Very well kept, painted in …
And that is what's so lovely about it."
13,"A most beautiful and relaxing place, very friendly atmosphere and the best views of the landscape you can get! This family run hotel is very unique, with great food, very nice people - the most authentic greek impression possible. We visit …",5,12,"A family run hotel is very unique, with great food, very nice people - the most authentic greek impression possible!
The most beautiful and relaxing place, very friendly atmosphere and the best views of the landscape you can get!"
14,I was a spectacular road but also a «hard drive» down the mountain -the last km was on a dirt road. But the view both getting to  the Taverna and sitting at the Taverna was very nice. The Mossaka and the Greek salad tasted very good.,4,12,"The Mossaka and the Greek salad tasted very good.
The last km was on a dirt road.
I was a spectacular road but also a «hard drive» down the mountain."
15,"Food was regular and good, typical greek and fresh. The location sea view was very quiet, fresh, not crowded at all. A pity that the service was not at the same level. It seemed that the waiter , probably even the owner, was not really willing to care about customers.",3,12,"Food was regular and good, typical greek and fresh.
Location sea view was very quiet, fresh, not crowded at all.
A pity that the service was not at the same level."
16,"It's our small paradise on earth. We  came again with our teenagers for a perfect week vacation. Not first and for sure we will come again. Rooms are very simple with a perfect sea view and a balcony. The beach is quiet, clear water. The …",5,48,"The beach is quiet, clear water.
Rooms are very simple with a perfect sea view and a balcony.
The …"
17,"My wife and I recently stayed at the Old Phoenix and had the most wonderful stay. If you're looking for simple relaxation - sunbathing, reading, walking and swimming this is a great place. The weather was beautiful as was the scenery. The …",5,48,"My wife and I recently stayed at the Old Phoenix and had the most wonderful stay.
If you're looking for simple relaxation - sunbathing, reading, walking and swimming this is a great place."
