,text,stars,months_ago,summary
0,"We love The Old Phoenix - this is the fourth time we’ve visited in the last ten years or so. It’s secluded and quiet, and the swimming in the bay is sublime. If you’re expecting five-star luxury, go somewhere else; this is a traditional …",5,5," this is the fourth time we’ve visited the old Phoenix in the last ten years or so. it’s secluded and quiet, and the swimming in the bay is sublime. this is a traditional..."
1,"What a disappointment. We have wanted to stay here for years but it was not a nice experience. Fine for a day at the beach and lunch at the taverna but don’t expect friendly service, the waiters couldn’t care less. And do not stay here! …",1,4," we have wanted to stay here for years but it was not a nice experience. don’t expect friendly service, the waiters couldn’t care less. do not stay here!"
2,"We walked over to Fenix from Loutro and stayed the day on the beach by the Old Phoenix. Wonderful small stony beach, clean clear water and very quiet. Had lunch in the restaurant that was very good, fresh local ingredients and lovely …",5,6," we walked over to stony beach from Loutro and stayed the day on the beach by the old Phoenix. the restaurant was very good, fresh local ingredients and lovely."
3,"The Old Phoenix was the low point of our two week vacation. Our room looked nothing like the photos. No art on the walls, fluorescent blue lights (and fluorescent reading lights, well, only one worked, that were brighter than the …",1,5," the old Phoenix was the low point of our two week vacation. no art on the walls, fluorescent blue lights (and fluorescent reading lights, well, only one worked), that were brighter than the..."
4,"I had a fantastic time at Old-Phoenix!
The beautiful beach on site provided the perfect backdrop for a relaxing vacation. …",5,7,the beautiful beach on site provided the perfect backdrop for a relaxing vacation. the beach was a perfect backdrop for a relaxing vacation. a few minutes from old-phoenix. the beach is a beautiful beach on the outskirts of old-phoenix. a few minutes from old-phoenix and a few minutes from old-phoenix. a few minutes from old
5,"On the way from Marmara to Loutro I stopped for breakfast. I had a coffee and a yogurt, finally after 30 minutes the yogurt didn't arrive, so I went to the boss to pay for my coffee and everything was fine.  Then the waiter came and …",1,6,the waiter came and paid for my coffee and the yogurt didn't arrive. the waiter came and paid for my coffee and everything was fine. the waiter came to the boss to pay for my coffee and everything was fine. the waiter came and... and i'm happy to be able to get a cup of coffee and a cup of coffee. the waiter came to the boss to pay for my coffee and everything was fine
6,If you are looking for a get away from it all travelling experience then look no further. The location and view is absolutely stunning. We originally came here because it’s a great base for walking but increasingly we like chilling out and …,5,6,we originally came here because it’s a great base for walking but increasingly we like chilling out and... we like chilling out and... we like chilling out and... we like chilling out and... we like chilling out and... we like chilling out and... we like chilling out and... we like chilling out and... we like chilling out and... we like chilling out and... we like chill
7,Amazing place with nice people running it! Very good (and affordable) connections by boat to the surrounding beaches ☺️ …,5,7,a great place with nice people running it!... a great place to run.... a great place to run a boat.... a great place to run a boat. a great place to run a boat. a great place to run a boat. a great place to run a boat. a great place to run a boat. a great place to run a boat
8,When the small boat takes you into Finix Bay it’s taking you back to how Greece used to be before mass tourism. A wonderfully relaxing traditional place with lots of outdoor activity in the surrounding mountains,5,6, the small boat takes you into Finix Bay and takes you back to how Greece used to be before mass tourism. a traditional place with lots of outdoor activity in the surrounding mountains. the small boat takes you back to how Greece used to be before mass tourism. the small boat takes you back to the traditional place of the ancient Greek era. the small boat takes you back to a traditional place with lots of outdoor activity.
9,I recommend this place for those who love to swim in the warm Mediterrian sea in October and for those who love the smell of Crete in the autumn. This is definitely the best place ever for staying for hours on a small and beautiful beach …,5,12, this is definitely the best place for those who love to swim in the warm Mediterrian sea in the autumn. this is definitely the best place for staying for hours on a small and beautiful beach.
10,"Didn't stay at the hotel but did eat at the restaurant. Service was bad, food just ok. Do yourself a favor and take a 20 minute walk west and eat at Nikos Small Paradise instead. They actually appreciate your business.",1,7," eat at Nikos Small Paradise instead of staying at the hotel. service was bad, food just ok. take a 20 minute walk west and eat at Nikos Small Paradise instead."
11,"Actually, you can read it all at the homepage of The Old Phoenix, it is a very good and precise description. |It is a really nice, very laid back place, beautifully situated in the bottom of the small bay of Finix. The rooms are small and …",4,12," |It is a really nice, very laid back place, beautifully situated in the bottom of the small bay of Finix. the rooms are small and..."
